sku_id,brand,shop_id,cate,market_time
226519,6302,2399,79,2015-07-02 11:19:04.0
63114,9167,4216,79,2016-07-08 14:29:12.0
372345,2748,7125,79,2016-04-07 16:21:40.0
366931,2698,10252,79,2016-09-11 15:00:22.0
174979,8368,871,79,2017-12-06 17:56:17.0
295436,6302,2399,79,2015-07-02 11:19:04.0
282251,6302,2399,79,2015-07-02 11:19:04.0
146764,6302,2399,79,2015-07-02 11:19:04.0
130851,6302,2399,79,2015-07-02 11:19:04.0
150184,2748,9541,79,2016-06-16 17:25:27.0
114345,6574,4071,79,2016-01-26 16:38:24.0
98950,8368,871,79,2017-07-24 17:56:50.0
188988,6574,4071,79,2016-12-02 11:42:04.0
106591,8103,7575,79,2015-12-31 15:23:31.0
251912,6111,1570,79,2017-02-13 17:18:29.0
140059,4217,7011,79,2017-05-18 13:06:45.0
110630,4217,7011,79,2017-05-18 13:06:45.0
196053,5192,652,79,2018-03-09 09:34:40.0
227772,9167,4216,79,2016-08-25 10:40:41.0
228234,5192,652,79,2018-03-09 09:34:40.0
271298,5192,652,79,2018-03-09 09:34:40.0
133835,3274,6700,79,2016-03-11 12:59:06.0
208319,5192,652,79,2018-03-09 09:34:40.0
313911,9167,4216,79,2016-08-25 11:00:56.0
151783,9268,1259,79,2016-04-22 10:36:38.0
5374,10435,8501,79,2016-08-22 08:50:15.0
134395,2698,10252,79,2016-09-11 15:00:22.0
228138,6302,2399,79,2015-07-02 11:19:04.0
73526,10614,9389,79,2017-06-19 15:14:01.0
86302,6302,2399,79,2015-07-02 11:19:04.0
217122,6302,2399,79,2015-07-02 11:19:04.0
14750,10435,8330,79,2016-03-11 09:28:23.0
80215,6302,7129,79,2012-12-26 15:08:30.0
253840,6302,7129,79,2017-08-02 11:06:37.0
354373,10435,6075,79,2015-11-23 15:49:01.0
180753,6302,1345,79,2016-08-12 14:05:16.0
284293,6302,1345,79,2016-08-19 12:42:09.0
188267,2300,2375,79,2017-03-28 18:04:48.0
133191,6302,1345,79,2016-08-19 12:42:09.0
195692,6302,1345,79,2016-08-12 14:05:16.0
207669,6302,1345,79,2016-08-12 14:05:16.0
94010,10435,8330,79,2016-03-11 09:28:23.0
262860,6302,1345,79,2016-08-19 12:42:09.0
252344,9167,4216,79,2016-07-08 14:29:12.0
173463,6302,6004,79,2015-04-01 14:58:06.0
212106,6302,6515,79,2016-12-11 18:57:34.0
220171,6302,7579,79,2017-08-29 18:24:46.0
169499,6302,7579,79,2017-08-29 18:24:46.0
215755,6302,7579,79,2015-05-23 10:56:16.0
276694,6302,8382,79,2017-11-14 15:40:25.0
222024,6302,8382,79,2017-11-03 10:24:48.0
294204,6302,8382,79,2017-11-14 15:40:25.0
109604,6302,8382,79,2017-11-14 15:40:25.0
166892,6302,8382,79,2017-11-14 15:40:25.0
194915,6302,8382,79,2017-11-14 15:40:25.0
176506,6302,8382,79,2017-11-14 15:40:25.0
334983,6302,8382,79,2017-11-14 15:40:25.0
220101,6302,8382,79,2017-11-14 15:40:25.0
142410,10435,8330,79,2016-03-11 09:28:23.0
292099,6302,4348,79,2017-05-03 01:19:37.0
149415,6302,4348,79,2017-05-03 01:09:40.0
63999,6302,4348,79,2017-05-03 00:42:22.0
111022,6302,4348,79,2017-05-03 01:01:14.0
6144,6302,8382,79,2017-11-14 15:40:25.0
30167,6302,9311,79,2015-04-21 16:12:47.0
51969,6302,9311,79,2015-04-21 16:12:47.0
226975,6302,1616,79,2015-03-23 17:20:29.0
296097,6302,6586,79,2016-01-12 16:35:25.0
251503,6302,6586,79,2016-01-12 16:35:25.0
352183,9167,4216,79,2016-07-08 14:29:12.0
51930,5762,8382,79,2018-01-10 18:09:39.0
14937,5762,8382,79,2018-01-10 18:09:39.0
332781,10435,7950,79,2016-06-13 13:30:40.0
154392,6302,7650,79,2015-03-02 13:40:23.0
33575,10179,216,79,2017-06-09 16:17:23.0
100728,9167,4385,79,2017-07-11 14:39:27.0
344292,9167,4385,79,2017-07-11 14:39:27.0
367542,10435,7950,79,2016-06-09 16:39:59.0
325100,9167,4385,79,2017-07-11 14:39:27.0
352254,9167,4385,79,2017-07-11 14:39:27.0
58610,9167,4385,79,2017-07-11 14:39:27.0
179737,10435,6126,79,2017-01-13 12:28:00.0
315108,10435,6075,79,2015-11-23 15:49:01.0
359267,10435,6126,79,2017-01-13 12:28:00.0
9362,10435,6126,79,2017-01-13 12:28:00.0
101011,10435,1884,79,2017-02-27 16:41:29.0
135892,10435,6075,79,2015-11-23 15:49:01.0
343553,5762,6826,79,2017-12-19 14:34:19.0
39192,10435,7950,79,2016-06-13 13:30:40.0
362725,10435,7950,79,2016-06-09 16:39:59.0
117009,10435,7950,79,2016-06-09 16:39:59.0
254757,10435,7950,79,2016-06-22 23:29:17.0
229056,10435,7950,79,2016-06-22 23:29:17.0
287141,6302,5568,79,2016-12-07 14:23:00.0
166195,6302,5568,79,2015-09-07 14:24:12.0
345583,6302,5568,79,2015-09-07 14:17:31.0
305000,6302,9234,79,2015-11-03 15:28:30.0
19069,10435,5048,79,2016-07-08 13:47:14.0
331913,6302,9234,79,2015-11-03 15:28:30.0
176356,9893,5400,79,2013-05-17 15:16:02.0
254386,6302,9234,79,2015-03-04 15:02:35.0
43522,10435,6436,79,2018-02-13 12:58:32.0
